Date,Open,High,Low,Close,Adj Close,Volume
2020-08-21,2260.000000,2271.000000,2241.050049,2248.600098,2219.079834,1975294
2020-08-24,2250.600098,2259.949951,2230.000000,2248.100098,2218.586426,2167966
2020-08-25,2245.000000,2250.000000,2233.550049,2242.649902,2213.208008,1663419
2020-08-26,2242.000000,2259.899902,2216.449951,2253.500000,2223.915527,2618149
2020-08-27,2266.000000,2287.350098,2241.750000,2248.399902,2218.882080,3579393
2020-08-28,2268.399902,2279.949951,2235.100098,2238.550049,2209.161377,2941136
2020-08-31,2240.000000,2276.199951,2228.000000,2257.250000,2227.616211,6018154
2020-09-01,2269.000000,2278.000000,2241.300049,2246.350098,2216.859375,3610908
2020-09-02,2247.000000,2268.750000,2241.649902,2265.149902,2235.412354,2084137
2020-09-03,2268.000000,2324.000000,2268.000000,2299.500000,2269.311279,4654146
2020-09-04,2275.000000,2324.250000,2262.949951,2288.800049,2258.751709,5231303
2020-09-07,2289.000000,2343.500000,2283.350098,2327.050049,2296.499756,4620401
2020-09-08,2335.949951,2390.449951,2327.050049,2348.199951,2317.371826,7453998
2020-09-09,2325.000000,2359.000000,2320.000000,2327.649902,2297.092041,3866535
2020-09-10,2335.000000,2348.500000,2324.300049,2331.149902,2300.545654,2308813
2020-09-11,2330.949951,2383.000000,2330.149902,2374.100098,2342.932129,4145424
2020-09-14,2384.100098,2505.750000,2381.850098,2491.399902,2458.692139,7512131
2020-09-15,2491.399902,2538.000000,2464.600098,2491.399902,2458.692139,7318770
2020-09-16,2488.949951,2507.600098,2477.300049,2503.000000,2470.140137,3074003
2020-09-17,2480.000000,2495.750000,2450.600098,2460.949951,2428.641846,4828176
2020-09-18,2485.000000,2500.399902,2436.399902,2449.899902,2417.736816,4183256
2020-09-21,2465.000000,2504.899902,2452.149902,2465.300049,2432.934814,4598809
2020-09-22,2485.000000,2555.000000,2458.000000,2522.949951,2489.828125,7499613
2020-09-23,2510.000000,2519.850098,2409.000000,2467.449951,2435.056152,7502280
2020-09-24,2450.000000,2450.000000,2302.600098,2332.250000,2301.631348,8424708
2020-09-25,2368.000000,2440.000000,2352.100098,2422.300049,2390.499268,8228267
2020-09-28,2440.000000,2444.000000,2366.000000,2426.300049,2394.446777,4347166
2020-09-29,2434.850098,2511.050049,2426.300049,2488.399902,2455.731445,6995811
2020-09-30,2489.000000,2505.000000,2460.000000,2492.300049,2459.580322,3917166
2020-10-01,2510.000000,2540.000000,2492.300049,2523.449951,2490.321289,2610337
2020-10-05,2620.000000,2728.100098,2603.050049,2705.800049,2670.277344,17412105
2020-10-06,2736.000000,2736.000000,2650.100098,2714.300049,2678.666016,9846367
2020-10-07,2742.000000,2770.000000,2703.000000,2735.949951,2700.031738,9656101
2020-10-08,2800.000000,2885.000000,2800.000000,2825.699951,2788.603516,19839329
2020-10-09,2810.000000,2829.850098,2780.000000,2812.949951,2776.020752,7739245
2020-10-12,2815.500000,2854.000000,2800.750000,2830.000000,2792.846924,4623203
2020-10-13,2845.000000,2854.899902,2812.199951,2826.550049,2789.442139,4209878
2020-10-14,2842.000000,2842.000000,2787.550049,2809.600098,2784.536377,4395936
2020-10-15,2811.000000,2827.750000,2727.000000,2740.600098,2716.152100,6629355
2020-10-16,2750.100098,2771.649902,2731.300049,2763.300049,2738.649414,5273773
2020-10-19,2774.000000,2774.000000,2706.600098,2711.550049,2687.360840,3331194
2020-10-20,2725.000000,2759.899902,2717.949951,2739.000000,2714.566162,3406273
2020-10-21,2739.000000,2749.000000,2663.050049,2675.399902,2651.533203,4570143
2020-10-22,2661.000000,2686.649902,2638.100098,2671.149902,2647.321289,5262294
2020-10-23,2687.800049,2702.000000,2670.100098,2686.800049,2662.831787,3499091
2020-10-26,2689.949951,2709.949951,2670.500000,2688.199951,2664.219238,2672752
2020-10-27,2699.750000,2718.149902,2624.100098,2630.149902,2606.687012,3537502
2020-10-28,2650.000000,2655.949951,2606.000000,2622.199951,2598.808105,3569445
2020-10-29,2608.000000,2655.000000,2600.250000,2632.649902,2609.164795,3105968
2020-10-30,2636.100098,2674.350098,2621.600098,2664.850098,2641.077881,3427003
2020-11-02,2660.000000,2664.850098,2600.050049,2604.600098,2581.364990,2571196
2020-11-03,2604.000000,2665.000000,2601.050049,2633.600098,2610.106689,2879269
2020-11-04,2610.000000,2721.850098,2610.000000,2653.149902,2629.481934,4893928
2020-11-05,2685.000000,2710.000000,2667.000000,2685.699951,2661.741699,2816502
2020-11-06,2699.000000,2713.250000,2681.300049,2707.449951,2683.297363,3884421
2020-11-09,2731.100098,2744.000000,2695.100098,2726.600098,2702.276855,3646592
2020-11-10,2697.199951,2713.149902,2638.350098,2649.600098,2625.963867,4760020
2020-11-11,2667.949951,2692.800049,2643.399902,2687.800049,2663.822754,3242441
2020-11-12,2686.000000,2713.000000,2661.750000,2671.050049,2647.222412,2437505
2020-11-13,2655.750000,2664.899902,2636.000000,2656.850098,2633.149170,2548093
2020-11-14,null,null,null,null,null,null
2020-11-17,2695.000000,2695.000000,2650.050049,2666.050049,2642.267090,2827273
2020-11-18,2661.000000,2664.199951,2607.050049,2626.649902,2603.218262,2893762
2020-11-19,2637.000000,2676.149902,2630.850098,2636.899902,2613.376709,4167501
2020-11-20,2655.000000,2676.000000,2627.550049,2660.250000,2636.518555,2711471
2020-11-23,2690.000000,2730.000000,2665.000000,2724.250000,2699.947510,3706418
2020-11-24,2734.399902,2743.000000,2705.000000,2722.050049,2697.767334,3120516
