Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,1090.050049,1092.25,1075.550049,1076.650024,916.317566,529952
2014-01-02,1083,1094.5,1078.074951,1083.5,922.147705,1726948
2014-01-03,1082.349976,1114.550049,1073.625,1111.099976,945.637634,2618174
2014-01-06,1114.5,1122,1098.5,1119.800049,953.041931,2311810
2014-01-07,1120,1128.224976,1099.5,1103.074951,938.807373,2897486
2014-01-08,1106,1122,1105,1116.324951,950.084595,2550020
2014-01-09,1114.375,1127.75,1111.050049,1120.974976,954.04187,2582206
2014-01-10,1130,1154.900024,1117.5,1140.449951,970.616577,3369334
2014-01-13,1142.5,1192,1142.5,1184.375,1008.000671,3814316
2014-01-14,1186,1192.400024,1160,1163.375,990.127502,2974964
2014-01-15,1171.224976,1189.099976,1163.5,1176.800049,1001.553589,3048854
2014-01-16,1190,1190.050049,1162.5,1175.150024,1000.149658,2997962
2014-01-17,1149,1149,1103.025024,1106.525024,941.743652,7564756
2014-01-20,1109.474976,1175,1107.75,1169.099976,995.000366,6010558
2014-01-21,1167,1169.625,1137.550049,1140.150024,970.361511,3132282
2014-01-22,1143.550049,1148.425049,1132.050049,1137.025024,967.701599,2384030
2014-01-23,1134.050049,1138.349976,1118.650024,1126.224976,958.509766,2290762
2014-01-24,1122,1141.625,1117.5,1124.349976,956.914307,1850266
2014-01-27,1113,1129.75,1110.050049,1114.800049,950.477173,2532948
2014-01-28,1116,1123.925049,1098.050049,1106.175049,943.123657,2852166
2014-01-29,1120,1120,1102.5,1104.900024,942.036194,1698076
2014-01-30,1099.025024,1113.5,1095,1108.800049,945.361755,2225250
2014-01-31,1112.550049,1134.900024,1110.5,1120.525024,955.358215,2174246
2014-02-03,1111,1122.125,1095.400024,1097.224976,935.492859,1362480
2014-02-04,1087,1087.5,1056.025024,1075.675049,917.119446,2694166
2014-02-05,1081.900024,1100,1070,1097.199951,935.471375,1853650
2014-02-06,1090,1094.949951,1072.5,1087.625,927.307556,1922652
2014-02-07,1095,1097.5,1065.5,1072.199951,914.156433,1990912
2014-02-10,1072,1072,1042.550049,1046.775024,892.479248,4019270
2014-02-11,1050,1063.25,1048,1050.849976,895.953308,3568786
2014-02-12,1059,1061.800049,1047.5,1052.724976,897.552185,3074348
2014-02-13,1053.5,1069.199951,1048.25,1066.875,909.616333,2094350
2014-02-14,1068.949951,1092.375,1064.050049,1083.949951,924.174316,1910062
2014-02-17,1080,1093,1073.599976,1082.699951,923.108521,1670394
2014-02-18,1082.5,1095.5,1077.925049,1083,923.364502,1526916
2014-02-19,1085,1107.5,1081.125,1098.974976,936.98468,1072918
2014-02-20,1103,1111,1091.400024,1094.675049,933.318542,1587924
2014-02-21,1099,1106.5,1095.375,1102.849976,940.288696,1717860
2014-02-24,1102,1102.625,1085.050049,1088.949951,928.437439,2450424
2014-02-25,1094.5,1099.75,1090,1094.449951,933.12677,3305374
2014-02-26,1097,1097.5,1088.574951,1091.074951,930.249084,3859712
2014-02-28,1080.5,1140,1080.074951,1137.875,970.150879,3988192
2014-03-03,1135.900024,1149.5,1114,1120.025024,954.932068,1606078
2014-03-04,1116.599976,1127,1112,1120.324951,955.187866,2030332
2014-03-05,1127.425049,1143.125,1121.275024,1125.949951,959.983765,2302006
2014-03-06,1126.425049,1130,1116.074951,1120.375,955.230347,1314562
2014-03-07,1122.75,1125.025024,1076.400024,1114.25,950.008484,4698472
2014-03-10,1114.050049,1114.25,1067.5,1071.324951,913.4104,3829768
2014-03-11,1077.5,1088.824951,1061,1075.824951,917.247131,2550254
2014-03-12,1076.5,1094.875,1076.5,1089.724976,929.098389,1669788
2014-03-13,1074.025024,1101,1068.425049,1074.775024,916.351929,2019884
2014-03-14,1070.5,1080.25,1062.150024,1069.775024,912.088867,2161246
2014-03-18,1067.75,1075.900024,1052.125,1061,904.607361,2565842
2014-03-19,1037.5,1037.5,1006.525024,1019.700012,869.394897,8652662
2014-03-20,1019,1061.449951,1005.700012,1054.099976,898.724304,5728956
2014-03-21,1062.5,1072.5,1042.5,1063.5,906.738708,4680776
2014-03-22,null,null,null,null,null,null
2014-03-24,1068.474976,1078.974976,1063.074951,1076.300049,917.651978,2183014
2014-03-25,1072,1086,1065,1073.324951,915.115601,2249968
2014-03-26,1074.025024,1079.25,1043.775024,1046.75,892.457764,3192350
2014-03-27,1050.474976,1057.5,1032.525024,1047.125,892.777527,5012476
2014-03-28,1048.5,1061.425049,1040.025024,1051.050049,896.124146,2971162
2014-03-31,1052,1072.474976,1041,1066.574951,909.360718,2683268
2014-04-01,1072.5,1092.5,1072.449951,1088.349976,927.925842,2755932
2014-04-02,1095,1101,1080.525024,1086.125,926.028931,3763016
2014-04-03,1086.425049,1091,1073.800049,1083.25,923.577881,1581194
2014-04-04,1086,1093.5,1065,1069.425049,911.790466,1694656
2014-04-07,1065.050049,1082.974976,1060.349976,1076.900024,918.163574,2594986
2014-04-09,1076,1081,1052.5,1070.199951,912.451111,3350500
2014-04-10,1070.199951,1074.324951,1057.599976,1063.074951,906.376465,2152886
2014-04-11,1059,1087.449951,1050,1082.050049,922.554688,2340742
2014-04-15,1090.5,1129,1087.025024,1126.375,960.346069,3597244
2014-04-16,1132,1132,1092.099976,1098.150024,936.281494,3475910
2014-04-17,1110,1113.5,1071.349976,1111.449951,947.620667,7681438
2014-04-21,1110,1121.449951,1105.650024,1110.875,947.130737,1842594
2014-04-22,1116.974976,1124.949951,1109.949951,1110.525024,946.832336,1486274
2014-04-23,1115.699951,1121.949951,1100.550049,1106.875,943.720398,1938992
2014-04-24,1106.875,1106.875,1106.875,1106.875,943.720398,0
2014-04-25,1113.5,1117.5,1096.599976,1102.625,940.09668,3160448
2014-04-28,1102.625,1111.349976,1090.050049,1095.675049,934.171143,2550766
2014-04-29,1093,1103.175049,1088.449951,1097.125,935.407532,1846180
2014-04-30,1092.550049,1102.800049,1090.5,1094.599976,933.254639,2397378
2014-05-02,1090.625,1109.949951,1090.625,1104.224976,941.460938,1917778
2014-05-05,1105.400024,1114.5,1102.074951,1106.849976,943.698853,1314478
2014-05-06,1106.849976,1110.800049,1095,1099.449951,937.389648,961232
2014-05-07,1095.525024,1101.5,1070.050049,1082.775024,923.172852,4716182
2014-05-08,1082.550049,1090.900024,1073.824951,1081.025024,921.680664,2606900
2014-05-09,1076,1092.349976,1076,1079.949951,920.763977,1799440
2014-05-12,1076.5,1083.349976,1061.574951,1079.675049,920.529602,2886064
2014-05-13,1082.900024,1119.5,1082.900024,1105.474976,942.527039,2547484
2014-05-14,1107.199951,1118.849976,1100.550049,1108.050049,944.722168,1389228
2014-05-15,1108.050049,1112.5,1085.574951,1096.574951,934.938538,2520196
2014-05-16,1100.025024,1126.699951,1050.125,1080.375,921.126404,5241798
2014-05-19,1075,1080,999.75,1018.349976,868.243958,6516606
2014-05-20,1014,1080,1014,1034.099976,881.672302,4702114
2014-05-21,1030.599976,1044.5,1027.900024,1041.425049,887.917847,4116946
2014-05-22,1048.375,1062,1037.550049,1055.974976,900.323059,4216842
2014-05-23,1059.5,1074.5,1048,1063.949951,907.122192,3094780
